,   Alpha,       M,       Q,       V,  Z_w.r., Cpu_001, Cpu_002, Cpu_003, Cpu_004, Cpu_005, Cpu_006, Cpu_007, Cpu_008, Cpu_009, Cpu_010, Cpu_011, Cpu_012, Cpu_013, Cpu_014, Cpu_015, Cpu_016, Cpu_017, Cpu_018, Cpu_019, Cpu_020, Cpu_021, Cpu_022, Cpu_023, Cpu_024, Cpu_025, Cpu_026, Cpu_027, Cpu_028, Cpu_029, Cpu_030, Cpu_031, Cpu_032, Cpu_033, Cpu_034, Cpu_035, Cpu_036, Cpu_037, Cpu_038, Cpu_039, Cpu_040, Cpl_001, Cpl_002, Cpl_003, Cpl_004, Cpl_005, Cpl_006, Cpl_007, Cpl_008, Cpl_009, Cpl_010, Cpl_011, Cpl_012, Cpl_013, Cpl_014, Cpl_015, Cpl_016, Cpl_017, Cpl_018, Cpl_019, Cpl_020, Cpl_021, Cpl_022, Cpl_023,Grade,Grit Size,Lower Coverage,Upper Coverage
20,0.001,0.231,3766.24,80.66,50.86,0.19675,0.10034,0.03671,-0.03153,-0.10392,-0.17669,-0.25699,-0.33242,-0.40972,-0.47952,-0.5434,-0.62659,-0.71989,-0.76173,-0.8037,-0.83515,-0.85284,-0.84891,-0.83831,-0.82627,-0.80448,-0.77109,-0.7472,-0.71685,-0.66639,-0.60308,-0.55046,-0.52827,-0.50576,-0.4179,-0.3109,-0.20384,-0.10317,0.01666,0.1604,0.35161,0.56757,0.78712,0.95679,0.9981,1.0,0.53564,0.20085,-0.03482,-0.13544,-0.22366,-0.28922,-0.3389,-0.35171,-0.38337,-0.40864,-0.41996,-0.43045,-0.42885,-0.40458,-0.35119,-0.27265,-0.14385,-0.06747,0.02031,0.12488,0.27439,0.19592,0.0,0.0,0.0,0.0
21,-1.027,0.23,3753.06,80.52,49.18,0.19876,0.10353,0.0432,-0.02174,-0.09074,-0.15941,-0.23541,-0.30617,-0.37796,-0.44116,-0.49767,-0.60923,-0.65769,-0.69809,-0.73525,-0.76077,-0.7722,-0.76245,-0.7455,-0.72719,-0.69968,-0.65986,-0.62948,-0.59115,-0.53518,-0.46626,-0.40638,-0.3737,-0.33785,-0.24169,-0.12883,-0.01395,0.09557,0.22482,0.37471,0.55917,0.75081,0.91869,0.99856,0.96989,0.9671,0.26493,-0.07936,-0.29206,-0.3511,-0.41061,-0.45295,-0.4827,-0.47726,-0.49521,-0.50874,-0.50885,-0.50942,-0.49892,-0.46641,-0.4095,-0.28416,-0.17996,-0.09461,0.00054,0.10979,0.26701,0.19789,0.0,0.0,0.0,0.0
22,-2.058,0.23,3758.96,80.58,50.85,0.20097,0.10748,0.05056,-0.01102,-0.07667,-0.1412,-0.21295,-0.27899,-0.34548,-0.40133,-0.46407,-0.56189,-0.59893,-0.63587,-0.66753,-0.68727,-0.6925,-0.67737,-0.65439,-0.63018,-0.59742,-0.55177,-0.51533,-0.46992,-0.40972,-0.33551,-0.26984,-0.22789,-0.18007,-0.07791,0.03943,0.15845,0.27421,0.4078,0.55656,0.72593,0.88299,0.98625,0.98361,0.8618,0.85393,-0.06675,-0.40231,-0.57744,-0.58517,-0.61008,-0.62568,-0.63287,-0.60757,-0.61044,-0.61103,-0.5995,-0.58948,-0.57044,-0.53148,-0.43422,-0.3358,-0.21536,-0.12119,-0.01898,0.09494,0.25914,0.19978,0.0,0.0,0.0,0.0
23,-3.091,0.23,3752.99,80.52,49.18,0.20196,0.11132,0.05798,-0.00027,-0.06249,-0.123,-0.19053,-0.25191,-0.31303,-0.36173,-0.44921,-0.50722,-0.54363,-0.57606,-0.60241,-0.61629,-0.61588,-0.59564,-0.56742,-0.53799,-0.50062,-0.44964,-0.40802,-0.35641,-0.29222,-0.21422,-0.14333,-0.09368,-0.03636,0.07023,0.18939,0.3106,0.42805,0.56111,0.70251,0.84966,0.96347,0.99799,0.90709,0.67949,0.66626,-0.44859,-0.75688,-0.88116,-0.83007,-0.81523,-0.80149,-0.78423,-0.73815,-0.72499,-0.71237,-0.68947,-0.66946,-0.63909,-0.55728,-0.47607,-0.38379,-0.25112,-0.14682,-0.03745,0.07967,0.24792,0.20107,0.0,0.0,0.0,0.0
24,-4.117,0.23,3764.37,80.65,50.8,0.20069,0.1145,0.06525,0.01067,-0.04806,-0.10437,-0.16752,-0.22406,-0.27916,-0.32744,-0.4201,-0.45479,-0.48876,-0.51601,-0.53668,-0.54507,-0.53913,-0.51404,-0.48067,-0.44642,-0.40441,-0.3487,-0.30237,-0.24507,-0.17733,-0.09672,-0.021,0.03543,0.09987,0.21004,0.32883,0.44962,0.5658,0.69324,0.82049,0.93694,0.99749,0.96352,0.76333,0.41713,0.39655,-0.89674,-1.15873,-1.21643,-1.09687,-1.03505,-0.9881,-0.9438,-0.87641,-0.84387,-0.78005,-0.74346,-0.74299,-0.69136,-0.62865,-0.52946,-0.42558,-0.28519,-0.17074,-0.0547,0.06284,0.2302,0.20033,0.0,0.0,0.0,0.0
25,-5.145,0.23,3755.94,80.57,49.14,0.19884,0.11761,0.07244,0.02142,-0.03388,-0.08624,-0.14515,-0.19693,-0.24618,-0.31128,-0.37345,-0.40702,-0.43741,-0.4596,-0.47504,-0.4783,-0.46751,-0.43815,-0.4003,-0.36165,-0.31584,-0.25619,-0.20583,-0.14446,-0.07327,0.00956,0.08841,0.14998,0.22045,0.33176,0.44851,0.56706,0.67805,0.79588,0.90421,0.98433,0.99112,0.87825,0.56709,0.09783,0.06858,-1.37571,-1.57671,-1.55773,-1.36771,-1.25642,-1.17493,-1.10086,-0.94701,-0.91815,-0.88885,-0.8405,-0.81935,-0.75753,-0.68334,-0.57381,-0.46127,-0.31314,-0.19138,-0.06992,0.04897,0.21617,0.19898,0.0,0.0,0.0,0.0
26,-6.171,0.231,3767.55,80.7,50.85,0.19578,0.12088,0.08026,0.0331,-0.01856,-0.06671,-0.12105,-0.16744,-0.21408,-0.29283,-0.32618,-0.35815,-0.3839,-0.40083,-0.41139,-0.40885,-0.39319,-0.35957,-0.31738,-0.27525,-0.22514,-0.16246,-0.10826,-0.04207,0.0314,0.11596,0.19724,0.26307,0.33834,0.4489,0.56197,0.67476,0.77821,0.88148,0.96396,0.9987,0.94332,0.7331,0.29613,-0.31342,-0.35294,-1.94037,-2.05819,-1.94276,-1.68172,-1.50126,-1.28056,-1.24811,-1.11633,-1.05113,-0.99959,-0.93521,-0.8983,-0.82522,-0.73909,-0.61864,-0.49696,-0.34012,-0.21101,-0.08434,0.03519,0.2003,0.19597,0.0,0.0,0.0,0.0
27,-7.201,0.23,3758.21,80.61,49.21,0.19042,0.12374,0.08791,0.0447,-0.00324,-0.04717,-0.09675,-0.13708,-0.19594,-0.25222,-0.28195,-0.31064,-0.33198,-0.34356,-0.34907,-0.34187,-0.32148,-0.28421,-0.23878,-0.19224,-0.13914,-0.07316,-0.01585,0.05382,0.12881,0.21427,0.29695,0.3658,0.44401,0.55232,0.65972,0.76492,0.85774,0.9423,0.99411,0.98238,0.85373,0.53664,-0.03156,-0.79015,-0.83928,-2.55083,-2.56817,-2.34409,-2.05283,-1.66784,-1.50746,-1.42057,-1.25936,-1.17318,-1.10464,-1.02463,-0.97424,-0.88946,-0.79145,-0.6602,-0.52933,-0.36374,-0.22758,-0.09645,0.02257,0.18352,0.19106,0.0,0.0,0.0,0.0
28,-8.237,0.231,3770.12,80.75,50.86,0.18153,0.1255,0.09476,0.05567,0.01145,-0.02798,-0.07255,-0.11009,-0.18343,-0.2126,-0.24034,-0.26523,-0.28192,-0.28846,-0.28915,-0.2774,-0.25266,-0.21266,-0.16307,-0.1132,-0.05734,0.01127,0.07112,0.14384,0.21967,0.30569,0.38868,0.45941,0.53906,0.64374,0.74375,0.83905,0.91858,0.98064,0.99839,0.93291,0.72408,0.29122,-0.41452,-1.33173,-1.39254,-3.21267,-3.11275,-2.77919,-2.24485,-1.94062,-1.71366,-1.59189,-1.40131,-1.29395,-1.20807,-1.11273,-1.04861,-0.95167,-0.84159,-0.69901,-0.55868,-0.38422,-0.24115,-0.10638,0.01054,0.16391,0.18231,0.0,0.0,0.0,0.0
29,-9.257,0.23,3759.8,80.64,49.22,0.16682,0.12498,0.09988,0.06511,0.02477,-0.00987,-0.04839,-0.10204,-0.15096,-0.17699,-0.20187,-0.2226,-0.23486,-0.2374,-0.23298,-0.21699,-0.18839,-0.14531,-0.09258,-0.03983,0.01783,0.0892,0.15105,0.22599,0.30245,0.38808,0.47091,0.54226,0.62187,0.72157,0.81326,0.89714,0.96093,0.99775,0.98107,0.85485,0.56144,0.00827,-0.837,-1.91898,-1.99134,-3.90271,-3.67461,-3.25983,-2.43826,-2.19537,-1.91424,-1.75848,-1.53832,-1.4094,-1.30654,-1.1955,-1.11747,-1.00834,-0.88595,-0.73217,-0.58224,-0.399,-0.24929,-0.1128,-0.00199,0.13947,0.16778,0.0,0.0,0.0,0.0
30,-10.29,0.231,3780.73,80.88,50.79,0.1437,0.12091,0.10224,0.07222,0.03585,0.00664,-0.03014,-0.09538,-0.12134,-0.14582,-0.16727,-0.18474,-0.19206,-0.19026,-0.18176,-0.16261,-0.12992,-0.08388,-0.02861,0.0267,0.08622,0.15928,0.22279,0.29924,0.37556,0.46043,0.54243,0.61348,0.69192,0.78551,0.8682,0.93938,0.98645,0.99778,0.94402,0.75477,0.37647,-0.29831,-1.28058,-2.52328,-2.60989,-4.59589,-4.23668,-3.75946,-2.76319,-2.43458,-2.10418,-1.91447,-1.6658,-1.51522,-1.3955,-1.26913,-1.17713,-1.05573,-0.92079,-0.75553,-0.59578,-0.40382,-0.24841,-0.11437,-0.01554,0.10703,0.1437,0.0,0.0,0.0,0.0
