	      Cd	      Cl	      Cm
390	0.071454	-0.8365	-0.0392
391	0.170107	-0.726	0.0027
392	0.026175	-0.7818	-0.0575
393	0.018306	-0.6344	-0.0582
394	0.014733	-0.4254	-0.0596
395	0.012888	-0.2065	-0.0618
396	0.012079	0.0215	-0.064
397	0.01221	0.2465	-0.0656
398	0.012992	0.4718	-0.0661
399	0.012717	0.2474	-0.0647
400	0.013637	0.4665	-0.0648
401	0.015706	0.6711	-0.0629
402	0.019575	0.8437	-0.0581
403	0.028189	0.9633	-0.0492
404	0.046438	1.0034	-0.0465
405	0.04763	1.0312	-0.0467
406	0.048808	1.0388	-0.0462
407	0.069484	1.046	-0.0468
408	0.062128	1.0441	-0.0461
409	0.140493	1.0487	-0.0487
410	0.197121	1.0294	-0.0543
411	0.184916	1.0225	-0.0525
412	0.022972	0.9135	-0.0541
413	0.01742	0.7624	-0.061
414	0.014493	0.5705	-0.0642
415	0.013034	0.3573	-0.065
416	0.01263	0.1393	-0.0644
417	0.013324	-0.0907	-0.0628
418	0.015011	-0.3101	-0.061
419	0.018266	-0.5212	-0.0595
420	0.024288	-0.6976	-0.0597
421	0.040909	-0.7932	-0.0571
422	0.059098	-0.7967	-0.0481
423	0.0821	-0.792	-0.0428
424	0.283062	-0.5064	0.0463
425	0.028857	-0.7577	-0.0601
426	0.020803	-0.6152	-0.0594
427	0.016344	-0.4182	-0.0604
428	0.014043	-0.2022	-0.0618
429	0.01279	0.021	-0.0636
430	0.012712	0.2439	-0.0648
431	0.016425	0.7173	-0.062
432	0.013958	0.2434	-0.0636
433	0.01493	0.461	-0.0636
434	0.017073	0.6641	-0.0617
435	0.02098	0.8348	-0.057
436	0.033318	0.9452	-0.0481
437	0.051934	0.9849	-0.0475
438	0.063333	0.9779	-0.0472
439	0.087485	0.9903	-0.0492
440	0.115426	0.988	-0.0513
441	0.145289	0.9728	-0.0535
442	0.197353	0.9412	-0.0591
443	0.274728	0.8556	-0.0709
444	0.274435	0.823	-0.084
445	0.024539	0.9003	-0.053
446	0.018675	0.7539	-0.0598
447	0.015788	0.5635	-0.063
448	0.014256	0.353	-0.0638
449	0.013962	0.1354	-0.0634
450	0.014449	-0.0923	-0.062
451	0.016179	-0.3092	-0.0604
452	0.019724	-0.5159	-0.059
453	0.026527	-0.6799	-0.0591
454	0.053475	-0.7548	-0.0499
455	0.117337	-0.7177	-0.0274
456	0.223555	-0.5853	0.0205
457	0.298995	-0.5017	0.0443
458	0.275077	-0.4875	0.0569
459	0.034569	-0.726	-0.0586
460	0.022505	-0.6061	-0.0589
461	0.0176	-0.4152	-0.0598
462	0.015158	-0.2027	-0.0611
463	0.014083	0.0195	-0.0627
464	0.01399	0.2393	-0.0637
465	0.014795	0.6791	-0.0641
466	0.018893	0.8458	-0.0583
467	0.036803	0.9535	-0.05
468	0.061312	1.004	-0.0494
469	0.064371	1.0114	-0.0455
470	0.108961	1.022	-0.046
471	0.106065	1.0382	-0.0455
472	0.147798	1.0494	-0.0484
473	0.16472	1.0645	-0.0517
474	0.218097	1.0379	-0.0565
475	0.055591	0.9985	-0.0495
476	0.022949	0.9065	-0.0536
477	0.016403	0.7678	-0.0618
478	0.013578	0.5795	-0.0656
